Block,Village,location,Latitude,Longitude,RL_(m),Hyd_Formation,Wl_post_202_m_bbgl,WL_pre_2021mbgl
Bassi,Mohanpura,"Mohanpura, Bassi, Rajasthan, India",26.8597091,76.0812507,368.69,Older Alluvium,59.1,59.5
Dudu,Bandh Ka Balaji,"Bandh Ka Balaji, Dudu, Rajasthan, India",26.6738002,75.2218266,370,Mica Schist,41.1,43.2
Kotputli,Sarund,"Sarund, Kotputli, Rajasthan, India",27.7210061,76.1290961,370,Quartzite Schist,65.2,69
Sanganer,Muhana,"Muhana, Sanganer, Rajasthan, India",26.7911703,75.7313342,372.82,Older Alluvium,53.6,53.6
Dudu,Nayagaon,"Nayagaon, Dudu, Rajasthan, India",26.6793016,75.1019942,372.93,Gneiss,2.1,3.7
Sambher,Sambhar,"Sambhar, Sambher, Rajasthan, India",26.9095549,75.1859476,373,Older Alluvium,11.85,10.05
Dudu,Naraina,"Naraina, Dudu, Rajasthan, India",26.6839366,75.2338077,375,Mica Schist,1.05,5.45
Dudu,Naraina,"Naraina, Dudu, Rajasthan, India",26.6839366,75.2338077,375,Schist,2.9,8.1
"Jamwa
Ramgarh",Naila,"Naila, Jamwa

Ramgarh, Rajasthan, India",26.9361935,75.9956673,376,Quartzite,55.7,56.8
Kotputli,Raghunathpura_Pz,"Raghunathpura_Pz, Kotputli, Rajasthan, India",27.6329611,76.1281012,376,"Younger
Alluvium",55.25,56.2
Dudu,Harsoli,"Harsoli, Dudu, Rajasthan, India",26.6198205,75.1798985,376.51,Gneiss,1.1,3
Bassi,Rajpura patalwas,"Rajpura patalwas, Bassi, Rajasthan, India",26.8099336,76.1754757,376.51,Quartzite Schist,68.3,68
Dudu,Bichun,"Bichun, Dudu, Rajasthan, India",26.7385388,75.2676035,377,Gneiss,9.2,12.1
Bassi,Deogaon,"Deogaon, Bassi, Rajasthan, India",26.7776559,76.0518427,378,Older Alluvium,44.9,51
Jamwaramgarh,Naila,"Naila, Jamwaramgarh, Rajasthan, India",26.9361935,75.9956673,378.62,Yr. Alluvium,48.6,53.9
Jhotwara,Budhpura_IMD,"Budhpura_IMD, Jhotwara, Rajasthan, India",26.9545943,75.7455944,379,Older Alluvium,51.25,51.1
Dudu,Dantri,"Dantri, Dudu, Rajasthan, India",26.6332484,75.1019942,379.58,Gneiss,5.8,9.8
Dudu,Naraina,"Naraina, Dudu, Rajasthan, India",26.6839366,75.2338077,379.83,Schist,1.6,4.2
Sambher,Sambher,"Sambher, Sambher, Rajasthan, India",26.9095549,75.1859476,380.15,Older Alluvium,8.5,9.2
Sanganer,Mathurawala,"Mathurawala, Sanganer, Rajasthan, India",26.740928,75.875181,381,Older Alluvium,9.6,8.9
Sanganer,Sanganer,"Sanganer, Sanganer, Rajasthan, India",26.8191641,75.7659513,381.3,Older Alluvium,47,45.75
Dudu,Bichun,"Bichun, Dudu, Rajasthan, India",26.7385388,75.2676035,382.04,Gneiss,8.55,9.85
Dudu,Mamana,"Mamana, Dudu, Rajasthan, India",26.8085233,75.0727956,383.2,Gneiss,3,3
Dudu,Korseena,"Korseena, Dudu, Rajasthan, India",26.6832448,75.2335695,383.85,Schist,12.2,15
Chaksu,Kheda Jgannathpura,"Kheda Jgannathpura, Chaksu, Rajasthan, India",26.7480418,75.9027714,384.52,Older Alluvium,7.7,8.6
Sambher,Phulera,"Phulera, Sambher, Rajasthan, India",26.9095549,75.1859476,384.87,Older Alluvium,4,4.5
Dudu,Sali,"Sali, Dudu, Rajasthan, India",26.7234486,75.023876,385,Gneiss,2.5,4.2
Sambher,Phulera,"Phulera, Sambher, Rajasthan, India",26.9095549,75.1859476,387,Older Alluvium,6.25,4.6
Dudu,Sursingpura,"Sursingpura, Dudu, Rajasthan, India",26.6832448,75.2335695,387,Gneiss,41.3,45.7
Jamwaramgarh,Saipura,"Saipura, Jamwaramgarh, Rajasthan, India",26.9879743,75.9376146,387.51,Yr. Alluvium,64.9,64.9
Jhotwara,DURGAPURA,"DURGAPURA, Jhotwara, Rajasthan, India",26.8517972,75.7862232,388,Older Alluvium,61.1,60.1
Dudu,Khorsina,"Khorsina, Dudu, Rajasthan, India",26.6832448,75.2335695,388,Mica Schist,12.1,14.6
Jamwaramgarh,Malawala,"Malawala, Jamwaramgarh, Rajasthan, India",27.0151391,75.978254,392.63,Yr. Alluvium,58,52.3
Sanganer,Mathurawala,"Mathurawala, Sanganer, Rajasthan, India",26.740928,75.875181,393.11,Older Alluvium,2.5,4.6
Jamwaramgarh,Phootolao,"Phootolao, Jamwaramgarh, Rajasthan, India",27.0401172,76.1696791,393.21,Quartzite Schist,32.6,27.4
Jhotwara,Begus,"Begus, Jhotwara, Rajasthan, India",26.9545943,75.7455944,395.35,Yr. Alluvium,66.1,65.6
Bassi,Jhajhwad,"Jhajhwad, Bassi, Rajasthan, India",26.8419275,76.0521171,395.74,Yr. Alluvium,50.8,52.25
Jhotwara,AMBER,"AMBER, Jhotwara, Rajasthan, India",26.9545943,75.7455944,396,"Younger
Alluvium",10.2,10.8
Sanganer,Heerapura(Dhawas),"Heerapura(Dhawas), Sanganer, Rajasthan, India",26.8191641,75.7659513,396,Quartzite Schist,77.9,77.5
Jhotwara,"MANSAROVAR
GWD","MANSAROVAR GWD, Jhotwara, Rajasthan, India",26.8504593,75.7627702,396,Older Alluvium,50.25,36.35
Jhotwara,MansarovarCgwb,"MansarovarCgwb, Jhotwara, Rajasthan, India",26.9545943,75.7455944,396,Older Alluvium,42.1,44.7
Kotputli,Fatehpura Kala,"Fatehpura Kala, Kotputli, Rajasthan, India",27.7966972,76.0827008,396.68,Quartzite,34,37
Sambher,Jobner,"Jobner, Sambher, Rajasthan, India",26.9241033,75.307832,396.7,Older Alluvium,23.1,23.1
Sanganer,Barkabalaji,"Barkabalaji, Sanganer, Rajasthan, India",26.8191641,75.7659513,397.39,Older Alluvium,68,68
Sambher,Jobner,"Jobner, Sambher, Rajasthan, India",26.9241033,75.307832,398,Older Alluvium,22.7,23.2
Sambher,Pipli Ka Bas,"Pipli Ka Bas, Sambher, Rajasthan, India",26.9095549,75.1859476,399.48,Older Alluvium,24,24.8
Sanganer,Durgapura,"Durgapura, Sanganer, Rajasthan, India",26.8517972,75.7862232,399.54,Older Alluvium,63.2,63.2
Jhotwara,Lalpura,"Lalpura, Jhotwara, Rajasthan, India",26.9545943,75.7455944,399.81,Quartzite Schist,84.9,85.1
Phagi,Bhankrota,"Bhankrota, Phagi, Rajasthan, India",26.5749113,75.715462,400,"Younger
Alluvium",59,66.6
Amer,Amer,"Amer, Amer, Rajasthan, India",26.9880088,75.861032,400.38,Quartzite,32.1,37.65
Jhotwara,KALWAD,"KALWAD, Jhotwara, Rajasthan, India",26.9387584,75.7150138,401,"Younger
Alluvium",53.7,53.2
Sanganer,Awaniya,"Awaniya, Sanganer, Rajasthan, India",26.8418868,75.5247584,401.63,Quartzite Schist,55.2,55.2
Sanganer,Bhankrota,"Bhankrota, Sanganer, Rajasthan, India",26.8708346,75.6972666,401.96,Older Alluvium,62.2,66.5
Dudu,Sali,"Sali, Dudu, Rajasthan, India",26.7234486,75.023876,402.83,Gneiss,2.4,4.9
Sambher,KishangarhRenwal,"KishangarhRenwal, Sambher, Rajasthan, India",27.1622986,75.3578779,402.95,Yr. Alluvium,72.3,72.3
Dudu,Bandh Ka Balaji,"Bandh Ka Balaji, Dudu, Rajasthan, India",26.6738002,75.2218266,403.05,Older Alluvium,40.8,42.5
Dudu,Soshingpura,"Soshingpura, Dudu, Rajasthan, India",26.6832448,75.2335695,404,Mica Schist,54,55
Paota,BhureeBharaj,"BhureeBharaj, Paota, Rajasthan, India",27.5790576,76.0743124,404.33,Quartzite,41.4,42.65
Sanganer,Mansarovar,"Mansarovar, Sanganer, Rajasthan, India",26.8504593,75.7627702,404.47,Older Alluvium,37.5,40.1
Amer,Nangal Purohitan,"Nangal Purohitan, Amer, Rajasthan, India",26.9955791,75.7625945,404.7,Yr. Alluvium,56.4,58.2
Jamwaramgarh,Jamwa Ramgarh,"Jamwa Ramgarh, Jamwaramgarh, Rajasthan, India",27.019178,76.0017505,405.4,Yr. Alluvium,48.5,48.8
Jamwaramgarh,Bhanpur Kalan,"Bhanpur Kalan, Jamwaramgarh, Rajasthan, India",27.0773501,75.9666439,406.75,Yr. Alluvium,61,56.9
Jhotwara,Bindayaka,"Bindayaka, Jhotwara, Rajasthan, India",26.9256173,75.6572493,408,"Younger
Alluvium",50.1,47.7
Jhotwara,Kalwar,"Kalwar, Jhotwara, Rajasthan, India",26.9597182,75.6709944,408.53,Yr. Alluvium,52.6,52.6
Dudu,Sursingpura,"Sursingpura, Dudu, Rajasthan, India",26.6832448,75.2335695,409.02,Schist,42.2,45.9
Jamwaramgarh,Andhi,"Andhi, Jamwaramgarh, Rajasthan, India",27.0554679,76.1593927,409.76,Quartzite Schist,37.8,38.2
Sambher,Kheerwa,"Kheerwa, Sambher, Rajasthan, India",27.2901326,72.3207531,410,Older Alluvium,41.9,57.7
Paota,Panch Pahari,"Panch Pahari, Paota, Rajasthan, India",27.5512417,76.1841701,410.18,Yr. Alluvium,40.9,47.2
Jhotwara,Pachar,"Pachar, Jhotwara, Rajasthan, India",26.9545943,75.7455944,410.41,Yr. Alluvium,69.9,74.6
Jhotwara,Lalpura,"Lalpura, Jhotwara, Rajasthan, India",26.9545943,75.7455944,411,"Younger
Alluvium",89.2,87.7
Sambher,Mohanpur Balaji,"Mohanpur Balaji, Sambher, Rajasthan, India",26.9095549,75.1859476,411,"Younger
Alluvium",58.4,58.2
Sambher,Pachkodiya,"Pachkodiya, Sambher, Rajasthan, India",27.0695766,75.3907667,412.53,Older Alluvium,35,34.5
"Jamwa
Ramgarh",Samred Kalan,"Samred Kalan, Jamwa

Ramgarh, Rajasthan, India",27.1063468,76.0827008,413,Quartzite,42.7,51.4
Jhotwara,Bindayaka,"Bindayaka, Jhotwara, Rajasthan, India",26.9256173,75.6572493,413.67,Yr. Alluvium,48,50.5
Jhotwara,Panipech,"Panipech, Jhotwara, Rajasthan, India",26.9431387,75.7872919,415,Yr. Alluvium,41,41.5
Amer,Kukas,"Kukas, Amer, Rajasthan, India",27.0338102,75.8877261,415.28,Quartzite,22.5,22.5
Sambher,Kheerwa,"Kheerwa, Sambher, Rajasthan, India",27.2901326,72.3207531,417.77,Older Alluvium,57.9,63.3
Jhotwara,Heerapura,"Heerapura, Jhotwara, Rajasthan, India",26.9545943,75.7455944,421,Older Alluvium,79,78.55
Jhotwara,Sirsi,"Sirsi, Jhotwara, Rajasthan, India",26.9384262,75.6950814,421.26,Yr. Alluvium,78.1,78.2
Jhotwara,Raj Bhawan,"Raj Bhawan, Jhotwara, Rajasthan, India",26.9421862,75.8059045,428.27,Yr. Alluvium,21.78,22.7
"Jamwa
Ramgarh",DATAL GURJRAN,"DATAL GURJRAN, Jamwa

Ramgarh, Rajasthan, India",27.019178,76.0017505,429,Quartzite,35.6,36.2
Jhotwara,Achanchukiya,"Achanchukiya , Jhotwara, Rajasthan, India",26.852733,75.5451996,429.71,Quartzite Schist,78.3,80.4
Govindgarh,Kanarpura,"Kanarpura, Govindgarh, Rajasthan, India",26.4528117,74.3836719,430,"Younger
Alluvium",56,55.2
Jamwaramgarh,DyodaDungar,"DyodaDungar, Jamwaramgarh, Rajasthan, India",26.925773,76.040818,430.96,Yr. Alluvium,55.1,55.8
Viratnagar,Khatolai,"Khatolai, Viratnagar, Rajasthan, India",27.4219529,76.0401355,431.62,Yr. Alluvium,57.8,52.4
Paota,Badnagar,"Badnagar, Paota, Rajasthan, India",26.9590757,76.9282948,432.38,Yr. Alluvium,47.9,51.9
Dudu,Ladera,"Ladera, Dudu, Rajasthan, India",26.6774974,75.0581943,432.7,Gneiss,10.9,16.2
Paota,Pathreri,"Pathreri, Paota, Rajasthan, India",26.9590757,76.9282948,433.87,Yr. Alluvium,59.36,59.35
Sambher,Sinodiya,"Sinodiya, Sambher, Rajasthan, India",26.9109146,74.955948,434.84,Older Alluvium,31.6,32.2
Dudu,Sirohi Kalan,"Sirohi Kalan, Dudu, Rajasthan, India",26.683313,75.0319086,435.02,Gneiss,12.2,17.2
Govindgarh,Hastera1,"Hastera1, Govindgarh, Rajasthan, India",26.4528117,74.3836719,436,"Younger
Alluvium",34.25,31
Jhotwara,Kanakpura,"Kanakpura, Jhotwara, Rajasthan, India",26.9312804,75.7174359,436.11,Yr. Alluvium,66.1,66.6
Jamwaramgarh,Rahori,"Rahori, Jamwaramgarh, Rajasthan, India",26.9650199,75.9956673,437.29,Quartzite Schist,100,93
Sambher,Machharkhani,"Machharkhani, Sambher, Rajasthan, India",26.9095549,75.1859476,437.32,Older Alluvium,15.4,16.3
Phagi,Madhorajpura,"Madhorajpura, Phagi, Rajasthan, India",26.5765285,75.648448,437.32,Gneiss,7.5,10.9
Jamwaramgarh,Booj,"Booj, Jamwaramgarh, Rajasthan, India",26.9532924,76.0798006,438.47,Quartzite,70.8,70.4
Paota,Panchudala,"Panchudala, Paota, Rajasthan, India",27.7066855,76.1790984,438.91,Quartzite,28.7,31.8
Jhotwara,MES JAIPUR,"MES JAIPUR, Jhotwara, Rajasthan, India",26.9545943,75.7455944,439,"Younger
Alluvium",32.1,33.85
Jalsu,R.Kisanpura,"R.Kisanpura, Jalsu, Rajasthan, India",27.1118531,75.6295375,441.26,Yr. Alluvium,74.9,78
Jhotwara,JHOTWARA1,"JHOTWARA1, Jhotwara, Rajasthan, India",26.962258,75.73305,442,"Younger
Alluvium",75.65,71.6
Sambher,Badhal,"Badhal, Sambher, Rajasthan, India",27.2562041,75.4401832,443.39,Yr. Alluvium,73.2,79.1
Jhotwara,Ravindra Manch,"Ravindra Manch, Jhotwara, Rajasthan, India",26.9130783,75.8227386,443.46,Yr. Alluvium,43.23,43.4
Sanganer,Gwd Campus,"Gwd Campus, Sanganer, Rajasthan, India",26.8191641,75.7659513,444.7,Older Alluvium,51.43,52.6
Dudu,Mehla,"Mehla, Dudu, Rajasthan, India",26.6832448,75.2335695,445.09,Mica Schist,22.15,21.85
Govindgarh,Astikalan,"Astikalan, Govindgarh, Rajasthan, India",27.2835765,75.5085671,446.24,Yr. Alluvium,73.9,79.5
Govindgarh,Alisar,"Alisar, Govindgarh, Rajasthan, India",26.4528117,74.3836719,447,"Younger
Alluvium",61.1,59.2
Shahpura,Bidhara,"Bidhara, Shahpura, Rajasthan, India",27.3842893,75.9611437,447,"Younger
Alluvium",81.75,84
Shahpura,Shahpura,"Shahpura, Shahpura, Rajasthan, India",27.3842893,75.9611437,447.11,Yr. Alluvium,54.2,54.2
Jhotwara,Jhotwara,"Jhotwara, Jhotwara, Rajasthan, India",26.9545943,75.7455944,447.65,Yr. Alluvium,70.8,70.2
Govindgarh,Astikalan,"Astikalan, Govindgarh, Rajasthan, India",27.2835765,75.5085671,449,"Younger
Alluvium",79.9,78.6
Shahpura,Bidhara,"Bidhara, Shahpura, Rajasthan, India",27.3842893,75.9611437,449.94,Quartzite,91.9,93.1
Jamwaramgarh,Raisar,"Raisar, Jamwaramgarh, Rajasthan, India",27.1517639,76.1189485,450.25,Quartzite Schist,44.6,44.7
Viratnagar,Bilwari,"Bilwari, Viratnagar, Rajasthan, India",27.4223476,76.0519981,450.84,Yr. Alluvium,20.5,15.6
Amer,Rajarampura,"Rajarampura, Amer, Rajasthan, India",27.0981025,75.7749395,452,"Younger
Alluvium",65.1,53.8
Govindgarh,Heerakabas,"Heerakabas, Govindgarh, Rajasthan, India",26.4528117,74.3836719,452.72,Yr. Alluvium,49.8,49.8
Govindgarh,Alisar,"Alisar, Govindgarh, Rajasthan, India",26.4528117,74.3836719,453.35,Yr. Alluvium,59.5,58.9
Jhotwara,Vidhyadhar Nagar,"Vidhyadhar Nagar, Jhotwara, Rajasthan, India",26.9621084,75.7816265,453.36,Yr. Alluvium,64.45,65.15
Sambher,Harsoli,"Harsoli, Sambher, Rajasthan, India",26.9095549,75.1859476,456.95,Older Alluvium,32,32.8
Sambher,Baghawas,"Baghawas, Sambher, Rajasthan, India",27.1786383,75.453376,462.07,Yr. Alluvium,21.5,22
Amer,Kant,"Kant, Amer, Rajasthan, India",27.1616221,75.9272685,462.57,Quartzite,46.8,48.9
Govindgarh,Kaladera2,"Kaladera2, Govindgarh, Rajasthan, India",26.4528117,74.3836719,463,"Younger
Alluvium",60.8,60.2
Shahpura,KhoraLadkhani,"KhoraLadkhani, Shahpura, Rajasthan, India",27.3842893,75.9611437,464.48,Yr. Alluvium,46.9,48.7
Jamwaramgarh,Samred Kalan,"Samred Kalan, Jamwaramgarh, Rajasthan, India",27.1063468,76.0827008,465.15,Quartzite,49.4,49.7
Jhotwara,Brahmpuri,"Brahmpuri, Jhotwara, Rajasthan, India",26.9372789,75.8249742,465.97,Quartzite,4.6,4
Govindgarh,DHODSAR,"DHODSAR, Govindgarh, Rajasthan, India",26.4528117,74.3836719,466,"Younger
Alluvium",59.5,59
Jhotwara,Hathoj,"Hathoj, Jhotwara, Rajasthan, India",26.9545943,75.7455944,466.93,Yr. Alluvium,50.1,50.5
Amer,Harmara,"Harmara, Amer, Rajasthan, India",27.0063226,75.7679456,467.67,Yr. Alluvium,80.3,81
Jhotwara,N.PUROHITAN,"N.PUROHITAN, Jhotwara, Rajasthan, India",26.9545943,75.7455944,469,"Younger
Alluvium",52.8,52.2
Jalsu,Dadar Baori,"Dadar Baori, Jalsu, Rajasthan, India",27.1118531,75.6295375,469.55,Yr. Alluvium,45.7,49.1
Jhotwara,Harmara,"Harmara, Jhotwara, Rajasthan, India",27.0063226,75.7679456,471,"Younger
Alluvium",85.9,82.9
Shahpura,KhoraLadkhani,"KhoraLadkhani, Shahpura, Rajasthan, India",27.3842893,75.9611437,471,"Younger
Alluvium",46.9,51
Govindgarh,Dhodsar,"Dhodsar, Govindgarh, Rajasthan, India",26.4528117,74.3836719,472.44,Yr. Alluvium,58.8,57.6
Viratnagar,BagawasChourasi,"BagawasChourasi, Viratnagar, Rajasthan, India",27.4090112,76.0435425,479.05,Yr. Alluvium,52.9,50.1
Govindgarh,Ghinoi,"Ghinoi, Govindgarh, Rajasthan, India",27.1563513,75.559693,479.08,Quartzite Schist,58.7,58.3
Govindgarh,Niwana,"Niwana, Govindgarh, Rajasthan, India",27.2798582,75.751685,485,"Younger
Alluvium",60.3,65.4
Govindgarh,TIGARIA,"TIGARIA, Govindgarh, Rajasthan, India",26.4528117,74.3836719,490,"Younger
Alluvium",69.1,63
Govindgarh,Niwana,"Niwana, Govindgarh, Rajasthan, India",27.2798582,75.751685,490.57,Yr. Alluvium,71.6,66.2
Amer,Rajarampura,"Rajarampura, Amer, Rajasthan, India",27.0981025,75.7749395,491.71,Yr. Alluvium,54.4,55
Jalsu,Atal Biharipura,"Atal Biharipura, Jalsu, Rajasthan, India",27.1465786,75.7008027,491.87,Yr. Alluvium,65.2,59.2
Jalsu,KhoraShyamdas,"KhoraShyamdas, Jalsu, Rajasthan, India",27.1118531,75.6295375,492.22,Yr. Alluvium,64.8,66.3
Amer,Udak,"Udak, Amer, Rajasthan, India",26.9880088,75.861032,493.89,Yr. Alluvium,66.2,69.9
Govindgarh,Tigariya,"Tigariya, Govindgarh, Rajasthan, India",26.4528117,74.3836719,494.68,Yr. Alluvium,70,67.6
Govindgarh,Kanarpura,"Kanarpura, Govindgarh, Rajasthan, India",26.4528117,74.3836719,497.63,Quartzite Schist,52.65,53.25
Shahpura,Bishangarh,"Bishangarh, Shahpura, Rajasthan, India",27.3184198,75.9027714,497.92,Yr. Alluvium,48.6,47.5
Shahpura,Dhawali,"Dhawali, Shahpura, Rajasthan, India",27.3842893,75.9611437,498,"Younger
Alluvium",44.75,47.4
Shahpura,Dhavli,"Dhavli, Shahpura, Rajasthan, India",24.5632747,72.5951578,502.74,Yr. Alluvium,47.7,48.2
Shahpura,Manoharpur,"Manoharpur, Shahpura, Rajasthan, India",27.2994432,75.9570743,504.06,Yr. Alluvium,52.6,53.4
Govindgarh,Nangal Govind,"Nangal Govind, Govindgarh, Rajasthan, India",26.4528117,74.3836719,505.14,Yr. Alluvium,57.2,57
Viratnagar,Amloda,"Amloda, Viratnagar, Rajasthan, India",27.3093554,76.068199,507.68,Quartzite,67.9,65.4
Jalsu,Chomp,"Chomp, Jalsu, Rajasthan, India",27.1118531,75.6295375,513.4,Yr. Alluvium,69,69
Govindgarh,Hatnoda,"Hatnoda, Govindgarh, Rajasthan, India",26.4528117,74.3836719,514.05,Yr. Alluvium,67,62.9
Amer,AkedaDungar,"AkedaDungar, Amer, Rajasthan, India",27.0069525,75.8127199,521.26,Yr. Alluvium,72.3,72.3
Shahpura,Amarsar,"Amarsar, Shahpura, Rajasthan, India",27.3687821,75.8330591,524,"Younger
Alluvium",64.1,64.1
Shahpura,Anatpura,"Anatpura, Shahpura, Rajasthan, India",27.4140826,75.7429636,528.94,Yr. Alluvium,99.9,97.15
Amer,Sar,"Sar, Amer, Rajasthan, India",27.151496,75.9027714,533,Quartzite,46,50.9
Amer,ManpurMachedi,"ManpurMachedi, Amer, Rajasthan, India",27.1981016,75.881486,533.85,Quartzite,46.2,54.4
Shahpura,Amarsar,"Amarsar, Shahpura, Rajasthan, India",27.3687821,75.8330591,533.88,Yr. Alluvium,64.6,65.2
Amer,Bagwara,"Bagwara, Amer, Rajasthan, India",27.0915818,75.8508628,539.84,Yr. Alluvium,72,78.5
Govindgarh,Samod,"Samod, Govindgarh, Rajasthan, India",27.2066847,75.795284,553.99,Yr. Alluvium,63,59.85
Sanganer,Sirani,"Sirani, Sanganer, Rajasthan, India",26.7605446,75.6295375,393.79,Mica Schist,34.1,35.4
Sambher,Samdari,"Samdari, Sambher, Rajasthan, India",26.9095549,75.1859476,400.5,Yr. Alluvium,11.8,16
Sanganer,KheriGokulpura,"KheriGokulpura, Sanganer, Rajasthan, India",26.7438051,75.8040022,409.41,Older Alluvium,34.7,37.7
Dudu,Sakhun,"Sakhun, Dudu, Rajasthan, India",26.7032959,75.0976147,430.13,Gneiss,6.7,6.3
